2020-01-07	2.4745	1.81
2020-01-06	2.4304	-0.09
2020-01-03	2.4327	-0.22
2020-01-02	2.4381	1.58
2019-12-31	2.4001	0.68
2019-12-30	2.3840	1.06
2019-12-27	2.3589	-0.13
2019-12-26	2.3620	0.14
2019-12-25	2.3587	0.46
2019-12-24	2.3478	1.02
2019-12-23	2.3242	-0.80
2019-12-20	2.3430	-0.59
2019-12-19	2.3570	-0.21
2019-12-18	2.3619	-0.39
2019-12-17	2.3711	0.84
2019-12-16	2.3513	0.48
2019-12-13	2.3401	1.15
2019-12-12	2.3135	-0.22
2019-12-11	2.3187	-0.06
2019-12-10	2.3201	0.49
2019-12-09	2.3087	0.03
2019-12-06	2.3081	1.18
2019-12-05	2.2812	0.82
2019-12-04	2.2626	0.54
2019-12-03	2.2505	0.78
2019-12-02	2.2331	0.40
2019-11-29	2.2243	-1.06
2019-11-28	2.2481	-0.17
2019-11-27	2.2520	-0.49
2019-11-26	2.2630	0.62
2019-11-25	2.2490	0.20
2019-11-22	2.2444	-1.75
2019-11-21	2.2844	-0.69
2019-11-20	2.3003	-0.60
2019-11-19	2.3143	1.32
2019-11-18	2.2841	0.11
2019-11-15	2.2817	-0.41
2019-11-14	2.2911	0.43
2019-11-13	2.2814	0.72
2019-11-12	2.2651	0.30
2019-11-11	2.2584	-1.73
2019-11-08	2.2982	-0.33
2019-11-07	2.3057	0.21
2019-11-06	2.3008	-0.45
2019-11-05	2.3113	0.73
2019-11-04	2.2946	0.82
2019-11-01	2.2759	1.72
2019-10-31	2.2374	0.24
2019-10-30	2.2320	-0.50
2019-10-29	2.2433	-0.32
2019-10-28	2.2504	0.85
2019-10-25	2.2314	0.53
2019-10-24	2.2196	-0.27
2019-10-23	2.2257	-1.09
2019-10-22	2.2502	0.91
2019-10-21	2.2299	-0.38
2019-10-18	2.2383	-1.25
2019-10-17	2.2667	0.23
2019-10-16	2.2616	-0.32
2019-10-15	2.2689	-0.81
2019-10-14	2.2874	0.57
2019-10-11	2.2744	0.47
2019-10-10	2.2638	1.63
2019-10-09	2.2276	0.23
2019-10-08	2.2226	0.04
2019-09-30	2.2218	-1.08
2019-09-27	2.2461	0.67
2019-09-26	2.2311	-1.67
2019-09-25	2.2691	-0.99
2019-09-24	2.2918	0.48
2019-09-23	2.2809	-1.36
2019-09-20	2.3123	0.57
2019-09-19	2.2991	0.38
2019-09-18	2.2903	0.77
2019-09-17	2.2727	-1.20
2019-09-16	2.3004	-0.26
2019-09-12	2.3064	1.02
2019-09-11	2.2831	-1.52
2019-09-10	2.3184	-0.65
2019-09-09	2.3335	1.73
2019-09-06	2.2939	0.28
2019-09-05	2.2874	0.77
2019-09-04	2.2700	0.55
2019-09-03	2.2575	0.57
2019-09-02	2.2446	1.41
2019-08-30	2.2133	0.44
2019-08-29	2.2035	0.31
2019-08-28	2.1967	-0.23
2019-08-27	2.2018	1.61
2019-08-26	2.1670	-1.13
2019-08-23	2.1918	0.77
2019-08-22	2.1750	0.40
2019-08-21	2.1663	-0.12
2019-08-20	2.1688	0.22
2019-08-19	2.1640	2.76
2019-08-16	2.1059	0.57
2019-08-15	2.0940	0.52
2019-08-14	2.0831	0.82
2019-08-13	2.0662	-0.68
2019-08-12	2.0804	1.97
2019-08-09	2.0402	-0.49
2019-08-08	2.0502	1.89
2019-08-07	2.0122	-0.59
2019-08-06	2.0241	-0.62
2019-08-05	2.0367	-2.04
2019-08-02	2.0792	-0.67
2019-08-01	2.0933	-0.68
2019-07-31	2.1076	-0.89
2019-07-30	2.1266	0.32
2019-07-29	2.1199	0.06
2019-07-26	2.1187	0.48
2019-07-25	2.1086	1.09
2019-07-24	2.0858	1.43
2019-07-23	2.0563	0.50
2019-07-22	2.0461	-0.47
2019-07-19	2.0557	0.22
2019-07-18	2.0511	-1.27
2019-07-17	2.0774	0.37
2019-07-16	2.0697	-1.02
2019-07-15	2.0911	0.92
2019-07-12	2.0721	0.21
2019-07-11	2.0677	-0.10
2019-07-10	2.0697	-0.31
2019-07-09	2.0761	-0.28
2019-07-08	2.0819	-2.16
2019-07-05	2.1278	1.34
2019-07-04	2.0996	-1.26
2019-07-03	2.1265	-1.38
2019-07-02	2.1562	1.00
2019-07-01	2.1349	3.46
2019-06-28	2.0636	-0.15
2019-06-27	2.0667	1.71
2019-06-26	2.0319	0.25
2019-06-25	2.0269	-0.73
2019-06-24	2.0419	0.16
2019-06-21	2.0386	0.60
2019-06-20	2.0265	2.70
2019-06-19	1.9732	1.46
2019-06-18	1.9449	0.33
2019-06-17	1.9386	-0.24
2019-06-14	1.9432	-1.03
2019-06-13	1.9634	-0.02
2019-06-12	1.9638	-0.98
2019-06-11	1.9832	3.31
2019-06-10	1.9197	1.51
2019-06-06	1.8911	-1.00
2019-06-05	1.9102	-0.67
2019-06-04	1.9230	-1.11
2019-06-03	1.9445	-0.06
2019-05-31	1.9456	-0.10
2019-05-30	1.9476	-0.52
2019-05-29	1.9577	0.06
2019-05-28	1.9565	0.30
2019-05-27	1.9507	1.50
2019-05-24	1.9219	0.12
2019-05-23	1.9195	-2.53
2019-05-22	1.9693	0.05
2019-05-21	1.9684	1.43
2019-05-20	1.9407	-1.46
2019-05-17	1.9694	-2.62
2019-05-16	2.0223	1.07
2019-05-15	2.0009	2.26
2019-05-14	1.9567	-0.69
2019-05-13	1.9702	-0.68
2019-05-10	1.9837	4.22
2019-05-09	1.9034	-2.02
2019-05-08	1.9427	-1.33
2019-05-07	1.9688	1.02
2019-05-06	1.9490	-5.83
